regine_area;main_no;point_no;param_key;version_no_end;station_name;latitude;longitude;utm_east_z33;utm_north_z33
1;48;0;1001;1;Ørje;59,48267365;11,65055561;310319;6598578
1;49;0;1001;1;Brekke;59,1476326;11,55638409;303060;6561574
1;50;0;1001;2;Tistedalsfoss;59,12735367;11,44301224;296460;6559658
1;56;0;1001;1;Verket;59,71277618;11,55492687;306236;6624457
2;1;0;1001;1;Hådammen;61,05477142;12,02073479;339180;6772548
2;2;0;1001;2;Nor;60,34104156;12,04530525;336930;6693048
2;10;0;1001;1;Sogna;60,16962433;11,06362534;281650;6676813
2;11;0;1001;0;Narsjø;62,36131668;11,47878265;317821;6919394
2;12;0;1001;0;Nedre Sjodalsvatn;61,54837418;8,93450737;177943;6838879
2;13;0;1001;0;Nedre Sjodalsvatn;61,56027222;8,927066803;177672;6840237
2;15;0;1001;0;Breiddalsvatn ndf.;62,00504303;7,637489796;115031;6896625
2;20;0;1001;1;Kittilstad;61,89695358;8,22781086;144556;6881262
2;21;0;1001;0;Visa;61,74880981;8,403853416;152096;6863867
2;25;0;1001;0;Lalm;61,81748199;9,27394104;198571;6867140
2;27;0;1001;0;Aulestad;61,21560287;10,27089405;246113;6795993
2;28;0;1001;0;Aulestad;61,21541977;10,26932335;246027;6795979
2;32;0;1001;0;Atnasjø;61,85194016;10,22211933;248696;6866933
2;36;0;1001;1;Øvre Heimdalsvatn;61,41835785;8,894496918;174466;6824639
2;37;0;1001;1;Gardermoen Kulvert;60,19732285;11,07287025;282346;6679863
2;43;0;1001;1;Glomstadfoss;61,07811737;11,36816216;304121;6776925
2;61;0;1001;1;Orva;62,64654922;11,35357475;313143;6951494
2;63;0;1001;0;Rudi;61,55955124;10,05738354;237568;6835077
2;79;0;1001;1;Tessevatn;61,8048439;8,948114395;181322;6867293
2;99;0;1001;0;Hornset;61,79384232;11,15118313;297133;6857222
2;102;0;1001;0;Gjende;61,49501801;8,806900978;170616;6833593
2;111;0;1001;1;Aursunden;62,68219757;11,46358585;318994;6955147
2;112;0;1001;0;Nye Stai;61,46658325;11,04271126;289204;6821158
2;116;0;1001;1;Auma;62,21915436;10,65239716;274044;6906185
2;117;0;1001;1;Stai;61,49635315;11,05509186;290064;6824430
2;118;0;1001;2;Rena;61,12738419;11,37125587;304593;6782398
2;119;0;1001;0;Elverum;60,87969971;11,55556297;313060;6754299
2;122;0;1001;0;Skarnes;60,25431442;11,67747021;316154;6684364
2;126;0;1001;0;Langnes;59,60916519;11,11806202;281008;6614289
2;129;0;1001;1;Dølplass;62,19223022;10,45106506;263382;6903910
2;130;0;1001;0;Atna bru;61,85002518;10,23534393;249375;6866669
2;131;0;1001;1;Atnasjø;61,8501358;10,22299671;248727;6866729
2;132;0;1001;0;Lomnessjø;61,73286819;11,20183754;299404;6850281
2;134;0;1001;1;Storsjø ovf.;61,39334869;11,36517239;305914;6812009
2;135;0;1001;0;Tysla;61,93176651;11,057971;293157;6872861
2;142;0;1001;1;Knappom;60,6411705;12,04712486;338530;6726448
2;145;0;1001;1;Losna;61,33338547;10,27753162;247417;6809063
2;150;0;1001;0;Lalm;61,81669998;9,273649216;198548;6867055
2;153;0;1001;0;Aura;61,89265442;8,351590157;150987;6880112
2;165;0;1001;1;Bygdin ndf.;61,3273468;8,812397957;169136;6814947
2;167;0;1001;1;Vinsteren;61,32453537;8,83217907;170162;6814534
2;168;0;1001;1;Nedre Bjørnhølen;61,35509872;9,074456215;183402;6816727
2;172;0;1001;1;Olstappen;61,50048065;9,404658318;202403;6831320
2;197;0;1001;1;Ertesekken ndf.;60,20104218;11,37318897;299002;6679325
2;205;0;1001;2;Mesna ndf.;61,11790848;10,58174133;262047;6783960
2;205;0;1055;1;Mesna ndf.;61,11790848;10,58174133;262047;6783960
2;209;0;1001;0;Einavatn ndf.;60,64337158;10,59740543;259340;6731130
2;213;0;1001;1;Kvisla Bruk;60,96674347;10,77375221;271291;6766463
2;219;0;1001;1;Rokoelv;60,79098511;11,39779377;303960;6744888
2;222;0;1001;0;Narsjø;62,35918045;11,47280788;317500;6919173
2;223;0;1001;1;Fredriksvatn;61,94608307;7,982604027;132313;6888081
2;224;0;1001;0;Harpefoss;61,58098221;9,841317177;226301;6838350
2;224;0;1055;1;Harpefoss;61,58098221;9,841317177;226301;6838350
2;226;0;1001;1;Erlibru;62,42559052;11,09182453;298251;6927695
2;227;0;1001;1;Barkaldfoss;61,98016739;10,896348;285025;6878771
2;229;0;1001;1;Savalen ndf.;62,23141861;10,5222187;267381;6908010
2;232;0;1001;0;Elveseter;61,7024498;8,283732414;145243;6859372
2;233;0;1001;2;Mariholtputten;59,89325714;10,90073109;270713;6646624
2;235;0;1001;1;Grimsmoen;62,11970901;10,06900597;242921;6897303
2;238;0;1001;1;Rauddalsvatn ndf.;61,92034912;7,825314045;123779;6886129
2;243;0;1001;0;Moksa;61,31925583;10,29983997;248496;6807406
2;244;0;1001;1;Koloen;61,68042755;9,521855354;210312;6850785
2;251;0;1001;1;Kveberg bru;62,0777092;10,69256783;275082;6890312
2;265;0;1001;1;Unsetåa;61,94610977;11,08351231;294592;6874376
2;267;0;1001;1;Mistra bru;61,71111679;11,24189377;301378;6847738
2;268;0;1001;0;Akslen;61,7995491;8,447217941;154948;6869267
2;269;0;1001;1;Hummelvoll;62,44805527;11,12053394;299882;6930105
2;270;0;1001;1;Osflaten;62,4969902;11,20750237;304684;6935284
2;273;0;1001;1;Ryfetten;62,16821289;10,19262028;249758;6902211
2;274;0;1001;1;Einunna;62,23236847;10,34331322;258106;6908772
2;275;0;1001;1;Liavatn;61,85414886;7,76287508;119692;6879152
2;276;0;1001;1;Furusjøen;61,78904343;9,721846581;221853;6861981
2;279;0;1001;1;Kråkfoss;60,13344574;11,08010387;282324;6672734
2;280;0;1001;1;Kringlerdal;60,23630905;10,99043655;278045;6684475
2;281;0;1001;1;Risa;60,23882294;11,17316914;288168;6684153
2;284;0;1001;1;Sælatunga;61,88428497;9,061225891;188075;6875566
2;287;0;1001;1;Rotua;60,20543671;10,94706059;275434;6681187
2;288;0;1001;1;Harasjøen;60,65460205;11,38947582;302673;6729739
2;289;0;1001;1;Høydalsvatn;61,66875839;8,124903679;136479;6856512
2;290;0;1001;1;Brustuen;61,72623062;8,296029091;146164;6861944
2;291;0;1001;1;Tora;62,00772095;7,866355896;126995;6895583
2;292;0;1001;2;Skjøli;61,86008072;8,285395622;147145;6876855
2;294;0;1001;0;Visa;61,74880219;8,401960373;151997;6863876
2;295;0;1001;1;Tundra;61,90432739;8,043949127;135020;6883102
2;298;0;1001;1;Russa;61,57555008;8,92317009;177625;6841953
2;299;0;1001;1;Sulheim;61,76496887;8,403540611;152262;6865662
2;300;0;1001;1;Bøvertjern;61,65668488;8,131854057;136703;6855133
2;301;0;1001;1;Runningen;61,72536087;8,286985397;145678;6861896
2;302;0;1001;1;Øvre Visa;61,66184235;8,430077553;152497;6854074
2;303;0;1001;1;Dombås;62,0871315;9,10184288;192259;6897902
2;304;0;1001;1;Jora;62,13482666;8,998447418;187368;6903694
2;310;0;1001;1;Kverndalen;60,15066528;11,15415859;286545;6674408
2;315;0;1001;0;Kuggerudåa;60,35773468;11,73854065;320101;6695704
2;316;0;1001;1;Bruvoll;60,43875504;11,50175858;307527;6705389
2;318;0;1001;1;Transjøen;60,20817566;11,13897896;286078;6680854
2;322;0;1001;1;Strøm Sag;60,07683182;10,88734531;271237;6667088
2;323;0;1001;1;Fura;60,88483429;11,32495689;300585;6755550
2;324;0;1001;1;Storøygardsbrua;61,69407654;9,471046448;207759;6852529
2;328;0;1001;1;Fundin ndf.;62,32356644;9,91656208;236768;6920578
2;329;0;1001;1;Hellen bru;60,08914566;11,04089642;279853;6667936
2;331;0;1001;0;Kauserud;60,08368683;11,26531029;292288;6666602
2;333;0;1001;1;Eriksvann ndf.;59,83849716;10,92973137;271959;6640433
2;339;0;1001;1;Høyegga ndf.;62,01948166;10,82309914;281473;6883389
2;341;0;1001;1;Feragen ndf.;62,48458862;11,84329796;337340;6932141
2;344;0;1001;0;Løpet kraftstasjon;61,16356659;11,45764446;309460;6786169
2;344;0;1055;1;Løpet kraftstasjon;61,16356659;11,45764446;309460;6786169
2;347;0;1001;1;Røstefoss;62,50775146;11,26462936;307693;6936310
2;347;0;1055;1;Røstefoss;62,50775146;11,26462936;307693;6936310
2;352;0;1001;1;Hyllingen;62,69226074;11,92188072;342490;6955063
2;353;0;1001;1;Rien;62,71918488;11,87953186;340470;6958164
2;354;0;1001;1;Feragen;62,48536682;11,84919643;337648;6932213
2;377;0;1001;0;Einunna overføring;62,22877884;10,343153;258069;6908373
2;378;0;1001;1;Heimdalsoset;61,44618607;9,107247353;186067;6826686
2;379;0;1001;2;Savalen;62,23283005;10,52063465;267310;6908172
2;393;0;1001;0;Norsfoss;60,33902359;12,03551674;336380;6692848
2;396;0;1001;1;Elgsjø ndf.;62,36133957;9,800291061;231095;6925255
2;398;0;1001;2;Marsjø ndf.;62,34174728;10,0469408;243665;6922075
2;400;0;1001;1;Osfallet kraftstasjon;61,20307541;11,507267;312362;6790421
2;410;0;1001;1;Funnefoss overvann;60,16689682;11,53153038;307571;6675053
2;412;0;1055;1;Funnefoss kraftverk;60,16693115;11,52972984;307472;6675062
2;413;0;1001;1;Stokkelva;60,88483429;10,65998745;264536;6757756
2;415;0;1001;1;Espedalsvatn;61,43769073;9,49435997;206575;6823937
2;416;0;1001;1;Vågåvatn;61,8578186;8,956082344;182290;6873137
2;419;0;1001;1;Skreia;60,64776611;10,9215641;277074;6730475
2;429;0;1001;0;Rånåsfoss;60,0279007;11,32252121;295122;6660217
2;429;0;1055;1;Rånåsfoss;60,0279007;11,32252121;295122;6660217
2;431;0;1001;1;Brekke;59,43751144;11,23077297;286277;6594827
2;432;0;1001;1;Stortorp mølle;59,35955429;11,51599884;301986;6585272
2;433;0;1001;1;Vråla;59,44287872;11,28404427;289329;6595254
2;434;0;1001;1;Ofossen;61,88259888;8,313762665;148891;6879200
2;439;0;1001;1;Kvarstadseter;61,17847443;10,89334202;279236;6789603
2;441;0;1001;0;Strandfossen kraftstasjon;60,90936661;11,52532578;311595;6757686
2;441;0;1055;1;Strandfossen kraftstasjon;60,90936661;11,52532578;311595;6757686
2;442;0;1001;0;Skjefstadfoss;60,8310318;11,61056232;315763;6748728
2;442;0;1055;1;Skjefstadfoss;60,8310318;11,61056232;315763;6748728
2;443;0;1001;0;Braskereidfoss kraftstasjon;60,70937347;11,78584194;324622;6734709
2;443;0;1055;1;Braskereidfoss kraftstasjon;60,70937347;11,78584194;324622;6734709
2;444;0;1001;0;Kongsvinger kraftverk;60,2040062;11,89506054;327924;6678179
2;444;0;1055;1;Kongsvinger kraftverk;60,2040062;11,89506054;327924;6678179
2;451;0;1001;1;Nordre Osa;61,41274643;11,74337006;326203;6813101
2;453;0;1001;1;Bingsfoss kraftstasjon;59,9902916;11,26430035;291644;6656215
2;453;0;1055;1;Bingsfoss kraftstasjon;59,9902916;11,26430035;291644;6656215
2;455;0;1001;0;Elveseter;61,68888092;8,264201164;144057;6857973
2;457;0;1001;1;Fossum bru;61,78715515;10,66293144;271374;6858100
2;460;0;1001;1;Eide;61,61397934;9,722481728;220304;6842523
2;461;0;1001;1;Fossen;60,10301971;10,8658886;270227;6670075
2;463;0;1001;1;Vismunda;60,95845413;10,56209469;259786;6766299
2;464;0;1001;1;Svartelva;60,77607346;11,18653393;292375;6743879
2;465;0;1001;1;Flagstadelva;60,81517029;11,10336113;288109;6748494
2;469;0;1001;1;Skvaldra øvre;61,24470901;10,87682247;278815;6797026
2;473;0;1001;1;Frya;61,55195999;10,05676842;237471;6834236
2;474;0;1001;1;Skasåa;60,27379227;12,11288071;340330;6685398
2;479;0;1001;1;Li bru;62,00997543;10,00033092;238403;6885379
2;578;0;1001;1;Søndre Imssjøen;61,54787827;10,66176414;269535;6831491
2;590;0;1001;1;Vikka;60,16850281;11,0778141;282429;6676641
2;592;0;1001;1;Fokstua;62,11199188;9,28989315;202296;6899784
2;595;0;1001;0;Faukstad;61,70960617;9,425173759;205487;6854462
2;601;0;1001;1;Slemdalsbekken 1;60,12237167;11,05879402;281068;6671572
2;603;0;1001;0;Glåmos bru;62,67235184;11,41940117;316673;6954176
2;604;0;1001;0;Elverum;60,87421036;11,56065178;313304;6753674
2;605;0;1001;0;Solbergfoss;59,63733292;11,15354443;283189;6617306
2;605;0;1055;1;Solbergfoss;59,63733292;11,15354443;283189;6617306
2;606;0;1001;0;Andfinds bru;62,1745491;9,430496216;210213;6906096
2;607;0;1001;0;Vålåsjø;62,17457581;9,421855927;209764;6906137
2;609;0;1001;1;Storsjø ndf.;61,39065933;11,36496925;305886;6811710
2;611;0;1001;0;Storsjøen ndf. Øra;61,34148788;11,40269375;307597;6806127
2;612;0;1001;0;Søre Osa;61,24554443;11,72691631;324392;6794537
2;613;0;1001;0;Ossjø ndf.;61,24600983;11,74079132;325139;6794551
2;614;0;1001;0;Rosten;61,85856628;9,404753685;205839;6871105
2;615;0;1001;0;Moksa;61,3161087;10,30017567;248488;6807055
2;616;0;1001;0;Kuggerud;60,35553741;11,73307991;319787;6695475
2;618;0;1001;0;Skreia;60,64907455;10,92438602;277237;6730611
2;619;0;1001;0;Hunselv;60,78861237;10,67062092;264405;6747017
2;626;0;1001;1;Tunna;62,29906464;10,72620964;278465;6914817
2;628;0;1001;1;Torsbekkdalen;59,26921082;11,03022861;273797;6576769
2;630;0;1001;1;Kaldfjord-Øyvatn ndf.;61,35055542;9,283741951;194519;6815224
2;633;0;1001;0;Stortorp;59,35951996;11,51775646;302085;6585263
2;634;0;1001;1;Lena;60,67130661;10,81130505;271220;6733473
2;711;0;1001;1;Djuphølen;62,59517288;11,43299103;316893;6945548
2;1036;0;1001;1;Hæra v/Løkkeborg;59,59277344;11,4011364;296867;6611566
2;1088;0;1001;0;Glomma ved Skogmuseet;60,87000275;11,55723763;313094;6753215
3;11;0;1001;1;Sagstubekken;59,73026657;10,9549408;272635;6628308
3;12;0;1001;1;Kure;59,52848816;10,83980274;264760;6606267
3;13;0;1001;1;Fossli;59,44115067;10,94704914;270227;6596179
3;18;0;1001;1;Mossefossen kraftverk;59,43872452;10,66827965;254419;6596905
3;20;0;1001;1;Rygge Flystasjon;59,38328171;10,78527355;260655;6590313
3;21;0;1001;1;M. Peterson, Moss;59,44003677;10,67098999;254582;6597041
3;22;0;1001;1;Høgfoss;59,55160904;10,8561039;265842;6608781
3;23;0;1001;1;Moss dam ndf.;59,43872452;10,66827965;254419;6596905
5;3;0;1001;1;Gjersjøen ndf.;59,80878067;10,77556515;263119;6637669
5;17;0;1001;1;Rustadskogen;59,67047119;10,81043339;264099;6622163
6;9;0;1001;0;Akerselva, ndf. Maridalsvatn;59,96883011;10,78760242;264927;6655426
6;12;0;1001;0;Vestli;59,96828461;10,91857338;272226;6654907
6;17;0;1001;1;Oppsal;59,89409256;10,83674717;267143;6646940
7;3;0;1001;2;Øraker;59,92427444;10,6246109;255512;6651062
8;2;0;1001;1;Bjørnegårdssvingen;59,89347076;10,50813961;248777;6648073
8;8;0;1001;1;Blomsterkroken;59,90805054;10,56090927;251835;6649495
11;1;0;1001;1;Lierbyen;59,79012299;10,24300671;233139;6637620
11;3;0;1001;1;Glitrevatn ndf.;59,87004471;10,09149837;225309;6647124
11;4;0;1001;2;Elgtjern;59,88941956;10,08319759;225005;6649313
11;5;0;1001;1;Justad;59,85860825;10,21788692;232282;6645335
11;6;0;1001;1;Oppsal;59,84978104;10,24969292;233990;6644225
11;7;0;1001;1;Kjellstad bru;59,77280045;10,26996613;234512;6635586
12;8;0;1001;0;Grønvold bru;60,96960449;10,08833694;234267;6769370
12;9;0;1001;1;Oppsjø bru;60,63720322;8,588292122;149650;6739490
12;13;0;1001;1;Rysna;61,1685257;8,715961456;162288;6797807
12;13;0;1001;2;Rysna;61,1685257;8,715961456;162288;6797807
12;15;0;1001;0;Strømstøa;60,31460571;10,13888168;231601;6696349
12;42;0;1001;1;Hådemshølen;60,95974731;9,303172112;191762;6771718
12;65;0;1001;0;Skjerdal (Tyrifjorden);60,08134842;10,112854;228242;6670525
12;68;0;1001;0;Døvikfoss;59,88805008;9,908034325;215209;6649902
12;69;0;1001;1;Randsfjord;60,24184036;10,37839317;244242;6687307
12;70;0;1001;1;Etna;60,95190048;9,626173973;209139;6769367
12;75;0;1001;1;Vangsmjøsa;61,15854645;8,669595718;159694;6796939
12;76;0;1001;0;Vangsmjøsa ndf.;61,14785004;8,703144073;161379;6795577
12;77;0;1001;2;Slidrefjord;61,03871155;9,044779778;178607;6781732
12;85;0;1001;0;Killingstryken ndf.;60,35186386;10,08581257;228984;6700709
12;88;0;1001;0;Øvre Øyanghølen;61,1997757;8,92592907;173872;6800209
12;91;0;1001;1;Rudi bru;61,07271576;9,113393784;182644;6785174
12;92;0;1001;0;Vindevatn;61,17689133;9,056131363;180618;6797024
12;95;0;1001;1;Ustedalsvatn;60,52527237;8,180508614;126128;6729316
12;96;0;1001;1;Oppsjø;60,63578033;8,583539009;149376;6739357
12;97;0;1001;1;Bergheim;60,47192001;9,231314659;183106;6717868
12;98;0;1001;0;Krøderen;60,12051773;9,784866333;210372;6676274
12;99;0;1001;0;Skålfoss;60,0786705;9,833348274;212697;6671411
12;106;0;1001;0;Vikevatn;59,54532623;10,10043335;223137;6610991
12;109;0;1001;0;Grønvold bru;60,96867752;10,09200001;234457;6769252
12;110;0;1001;1;Ølsjø;60,87321091;9,254469872;188286;6762335
12;111;0;1001;0;Bløytjern dam;60,89469528;9,285968781;190200;6764572
12;113;0;1001;0;Kråkefjord ndf.;60,04320526;9,634025574;201308;6668354
12;114;0;1001;1;Garhammerfoss;60,20689011;10,02328205;224321;6684852
12;117;0;1001;1;Vavatn;60,94726563;8,442897797;145177;6774691
12;118;0;1001;1;Votna;60,68040466;8,302899361;134583;6745842
12;124;0;1001;1;Yljeoset;61,24058151;8,28960228;140254;6808084
12;130;0;1001;1;Flævatn;60,83391953;8,391529083;141130;6762390
12;133;0;1001;1;Mønin bru;60,90598679;9,288502693;190447;6765814
12;134;0;1001;0;Leito Nedre;60,78683853;9,59540081;205960;6751163
12;136;0;1001;1;Tisleifjord ndf.;60,83843613;9,018727303;175167;6759618
12;137;0;1001;1;Gjerdeslåtta;60,78967667;8,726650238;158818;6755688
12;141;0;1001;1;Strandefjord, avløp.;60,61952972;8,535092354;146556;6737813
12;143;0;1001;1;Ruud;60,62390137;8,188479424;127702;6740215
12;144;0;1001;1;Gryte bru;60,6199913;8,108691216;123306;6740237
12;147;0;1001;1;Brautemotjern;60,75539017;8,991155624;172825;6750532
12;150;0;1001;1;Buvatn;60,48611069;8,818804741;160638;6721504
12;154;0;1001;1;Lio;60,86945343;8,40742588;142389;6766247
12;164;0;1001;1;Geilo bru;60,52902985;8,207744598;127660;6729578
12;166;0;1001;1;Nysetervatn;60,54712677;7,755175114;103140;6734237
12;167;0;1001;1;Svenkerud;60,64809036;9,051532745;175023;6738314
12;171;0;1001;1;Hølervatn;60,70962143;9,458990097;197824;6743203
12;174;0;1001;1;Strøen ndf.;60,59845734;9,434897423;195463;6730963
12;178;0;1001;1;Eggedal;60,1517601;9,434388161;191232;6681335
12;179;0;1001;1;Heradsbygda;60,17754745;10,20263577;234007;6680854
12;180;0;1001;1;Hallum;60,17922974;10,21531677;234722;6680990
12;181;0;1001;1;Eikredammen;60,78163528;8,746917725;159832;6754690
12;182;0;1001;1;Hugali;61,14788437;8,719861984;162276;6795495
12;183;0;1001;1;Ala;61,13258362;8,701430321;161123;6793891
12;188;0;1001;1;Langtjernbekk;60,37271118;9,727456093;209434;6704554
12;190;0;1001;2;Samsjøen ndf.;60,34293365;10,18516541;234384;6699311
12;192;0;1001;1;Sundbyfoss;59,51703644;10,12356377;224211;6607750
12;193;0;1001;1;Fiskum;59,69721222;9,790201187;206957;6629206
12;197;0;1001;0;Grunke;60,95033646;8,703139305;159261;6773648
12;198;0;1001;1;Synna;61,07987213;9,930847168;226709;6782276
12;200;0;1001;1;Kolbjørnshus;60,82338715;10,07233334;232178;6753180
12;201;0;1001;1;Etnsenn;61,08797073;9,507417679;203993;6785020
12;202;0;1001;1;Rotvolla;61,04464722;9,565049171;206693;6779946
12;204;0;1001;1;Veslefossen;61,08444214;9,982892036;229551;6782567
12;205;0;1001;1;Mugna;61,2403717;8,728354454;163721;6805720
12;207;0;1001;0;Vinde-elv;61,15174484;9,075592995;181407;6794136
12;208;0;1001;0;Eid;60,72702026;9,710704803;211687;6744003
12;209;0;1001;1;Urula;60,5581398;9,875691414;219200;6724518
12;212;0;1001;1;Hangtjern;60,47921371;9,448800087;195102;6717650
12;215;0;1001;1;Storeskar;60,89171982;8,332807541;138604;6769129
12;220;0;1001;0;Geithus kraftverk;59,92897034;9,962825775;218617;6654215
12;228;0;1001;1;Kistefoss;60,2217598;10,36211491;243185;6685137
12;285;0;1001;0;Døvikfoss;59,88624191;9,909771919;215291;6649693
12;285;0;1055;1;Døvikfoss;59,88624191;9,909771919;215291;6649693
